03/13/2020 07:49:29 PM 
------------ Options -------------
data-dir: ../../datasets/CASIA-WebFace
batch_size: 200
epochs: 3
training_name: test
Opt: 1
Opt_level: O2
Cropping: 0
-------------- End ---------------
03/13/2020 07:49:43 PM Valid |   112/419  | loss:    9.8637 | fps: 2932.5156 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   113/419  | loss:    9.8635 | fps: 2933.6208 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   114/419  | loss:    9.8635 | fps: 2931.9883 | acc:    0.0000   
03/13/2020 07:49:43 PM Valid |   115/419  | loss:    9.8632 | fps: 2932.7144 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   116/419  | loss:    9.8629 | fps: 2931.8560 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   117/419  | loss:    9.8631 | fps: 2930.1316 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   118/419  | loss:    9.8629 | fps: 2933.5603 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   119/419  | loss:    9.8633 | fps: 2931.9932 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   120/419  | loss:    9.8638 | fps: 2935.3364 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   121/419  | loss:    9.8632 | fps: 2934.5449 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   122/419  | loss:    9.8634 | fps: 2934.4321 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   123/419  | loss:    9.8632 | fps: 2935.9763 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   124/419  | loss:    9.8626 | fps: 2935.0383 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   125/419  | loss:    9.8626 | fps: 2934.8110 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   126/419  | loss:    9.8626 | fps: 2934.4971 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   127/419  | loss:    9.8625 | fps: 2932.8066 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   128/419  | loss:    9.8621 | fps: 2934.3469 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   129/419  | loss:    9.8617 | fps: 2934.1492 | acc:    0.0000   
03/13/2020 07:49:44 PM Valid |   130/419  | loss:    9.8613 | fps: 2932.5759 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   131/419  | loss:    9.8612 | fps: 2935.3315 | acc:    0.0000   
